symbol,date,proba,close
sh688283,2026-09-24,0.2781285960502511,34.08
sz002228,2026-09-24,0.2759795230417804,3.27
sz000517,2026-09-24,0.2755212744875794,2.0
sz002482,2026-09-24,0.27530421079959877,1.33
sz300097,2026-09-24,0.2735121671945639,10.19
sz301322,2026-09-24,0.27178396538858257,47.31
sz000967,2026-09-24,0.2714244602920516,8.15
sz002879,2026-09-24,0.27016040741901315,17.92
sz000417,2026-09-24,0.2692106176762712,5.85
sz001230,2026-09-24,0.2690862958896124,20.31
sz001317,2026-09-24,0.2684492526874379,65.3
sh601011,2026-09-24,0.26834234989964484,2.91
sz002520,2026-09-24,0.2668663698599463,6.46
sz002696,2026-09-24,0.2645691359833506,6.65
sz300082,2026-09-18,0.26448315151660945,8.58
sz000980,2026-09-24,0.26392126310585734,2.04
sh600755,2026-09-24,0.262812310106773,6.02
sz002496,2026-09-24,0.2624953743096533,2.13
sh601801,2026-09-24,0.26199845660758464,5.53
sz301226,2026-09-24,0.26169127524645447,35.39
sz000488,2026-09-24,0.2609753802007732,2.11
sz002471,2026-09-24,0.2604341322036288,5.52
sh600360,2026-09-24,0.2600000212387465,11.67
sz001358,2026-09-24,0.25966032102219216,25.48
sh603008,2026-09-24,0.259520658538404,10.47
sz300491,2026-09-24,0.25945281116583724,38.32
sh603073,2026-09-24,0.2582941150150392,18.88
sz002741,2026-09-24,0.2559228935379825,28.6
sh601857,2026-09-24,0.25512979041046263,10.95
sz300427,2026-09-24,0.2551079419247679,6.46
bj920023,2026-09-24,0.25471238845884275,1.42
sz301020,2026-09-24,0.25421061601271383,24.54
sz002478,2026-09-24,0.2537753579605881,6.72
sz001216,2026-09-24,0.25159114390561627,28.4
sh603121,2026-09-24,0.250597774493742,13.14
sz001368,2026-09-24,0.25018000423043124,38.0
sz002702,2026-09-24,0.24972379763542354,5.55
sh600626,2026-09-24,0.24942759827107883,3.81
sh688004,2026-09-24,0.24867817863354472,33.14
sz002127,2026-09-24,0.24842737347461283,2.92
sh600239,2026-09-24,0.24828057781735124,1.44
sz002360,2026-09-24,0.24819843992378018,5.5
sz301297,2026-09-24,0.24750882174518737,50.72
sz301633,2026-09-24,0.2467188611329227,64.69
sh601279,2026-09-24,0.24669971005816063,3.51
sz300169,2026-09-24,0.24665568940884175,5.72
sz000632,2026-09-24,0.24663940970094528,3.75
sh600897,2026-09-24,0.2463261372160512,16.25
sz002639,2026-09-24,0.24631494354367123,14.28
sz002687,2026-09-24,0.2462634575291823,5.77
sz002146,2026-09-24,0.24615490429681158,1.2
sz000978,2026-09-24,0.2452976204423339,7.91
sh688337,2026-09-24,0.24476717579237278,58.61
sh605006,2026-09-24,0.24427540045177926,15.85
sz000637,2026-09-24,0.24417542979595236,4.22
sh600354,2026-09-24,0.24412529417012335,9.53
sh688033,2026-09-24,0.24411176867906814,7.51
sz000560,2026-09-24,0.2440523824150288,3.66
sh603067,2026-09-24,0.24375314415193278,40.89
sz000608,2026-09-24,0.2433077423786898,7.19
sz300359,2026-09-24,0.24329998733613778,4.15
sz002403,2026-09-24,0.24320744966086186,10.33
sz300279,2026-09-24,0.2429738746428786,6.11
sh601579,2026-09-24,0.2428602123767831,38.04
sz000700,2026-09-24,0.2426338732134952,12.47
sz000547,2026-09-24,0.24223755779123607,14.56
sh603937,2026-09-24,0.24198432377592508,13.55
sh600108,2026-09-24,0.24193947804202667,4.13
sz000068,2026-09-24,0.2416768481119823,3.26
sh600130,2026-09-24,0.24162560856023177,4.7
sz300411,2026-09-24,0.23970178555296612,8.5
sz003013,2026-09-24,0.23963043336175213,16.3
sh600661,2026-09-24,0.23824136447000344,9.56
sh601999,2026-09-24,0.23810980178240784,6.76
sz300991,2026-09-24,0.2380839615778324,28.91
